EmployeeID,FirstName,LastName,Department,Salary,JoinDate,Experience
1,David,Miller,Legal,112987,2024-01-07,14
2,Barbara,Moore,Operations,113370,2022-06-06,8
3,Charles,Johnson,Sales,130685,2023-09-21,3
4,William,Taylor,Support,104400,2021-01-11,7
5,Lisa,Hernandez,Operations,75150,2025-11-18,8
6,David,Lopez,Sales,81852,2021-06-17,9
7,Matthew,Jackson,HR,92870,2024-11-27,9
8,William,Miller,Sales,102756,2024-08-21,4
9,William,Martin,Marketing,106481,2025-03-20,12
10,Emily,Garcia,Marketing,51283,2021-07-17,13
11,Lisa,Smith,Marketing,83691,2021-04-01,6
12,Robert,Taylor,Legal,51125,2023-04-22,9
13,Jane,Hernandez,Legal,117065,2024-09-27,3
14,Mary,Moore,IT,76170,2021-01-26,0
15,Sarah,Taylor,Legal,58438,2025-11-08,2
16,Jane,Miller,Support,70095,2023-11-18,4
17,John,Taylor,HR,66154,2021-07-10,2
18,Mary,Martin,Operations,58004,2022-10-04,11
19,Mary,Rodriguez,Operations,59752,2025-02-19,12
20,Daniel,Taylor,IT,105426,2021-07-25,10
21,Emma,Martin,Legal,76819,2024-08-27,6
22,Jennifer,Davis,Support,142051,2022-01-09,11
23,Charles,Taylor,Sales,74217,2022-04-15,8
24,Charles,Miller,IT,138708,2021-07-09,14
25,Matthew,Smith,Support,82994,2024-04-04,11
26,Mary,Gonzalez,Sales,65036,2024-09-03,5
27,Barbara,Jackson,Support,127275,2025-04-27,12
28,Robert,Jackson,Sales,147756,2021-06-23,9
29,Michael,Taylor,Finance,99416,2023-12-10,0
30,Matthew,Gonzalez,Support,59587,2025-01-25,6
31,David,Thomas,Operations,145665,2022-06-25,14
32,James,Davis,Marketing,50645,2021-01-30,2
33,David,Jackson,Legal,80930,2025-11-20,4
34,Linda,Moore,Sales,131835,2023-03-09,9
35,Emily,Smith,Finance,80090,2021-09-03,3
36,Patricia,Wilson,Support,137489,2022-11-02,9
37,Linda,Jackson,Operations,102142,2024-06-21,4
38,James,Anderson,Marketing,76475,2021-12-02,4
39,Jane,Moore,Sales,68888,2024-07-18,5
40,Barbara,Johnson,Support,93732,2022-06-13,13
41,Charles,Taylor,Support,131623,2024-03-13,9
42,David,Moore,Sales,96305,2022-08-26,11
43,Mary,Garcia,IT,96037,2021-02-12,9
44,Lisa,Jackson,IT,59346,2021-01-12,12
45,Charles,Brown,Operations,50587,2024-12-27,12
46,Robert,Smith,Marketing,62763,2024-12-25,10
47,Patricia,Davis,Sales,109165,2025-10-04,5
48,Daniel,Miller,Operations,119615,2021-08-29,7
49,Emily,Williams,Operations,86116,2023-07-14,7
50,Linda,Martinez,HR,135751,2021-04-06,10
51,Lisa,Martinez,Support,141353,2021-09-29,8
52,Emily,Jackson,Legal,140301,2021-07-01,7
53,Jane,Wilson,Support,145648,2021-03-24,12
54,Sarah,Johnson,IT,75556,2025-02-24,10
55,Emma,Smith,Marketing,109042,2024-04-22,1
56,Emily,Moore,Support,68099,2022-05-27,13
57,Linda,Miller,Sales,95096,2024-05-12,13
58,Mary,Davis,Operations,121986,2023-12-28,11
59,Jane,Smith,Sales,63230,2021-03-06,9
60,Emma,Williams,HR,79009,2022-11-05,11
